Key,Korean (South Korea)(ko-KR),English(en)
USkillNerf001_desc,온갖 액운을 부르는 굿판을 벌인다. 굿판에 휘말린 적들은 짙은 살기에 짓눌려 싸울 의지마저 사그라든다.,"Performs a shamanic rite that calls forth all manner of misfortune. Enemies caught within are overwhelmed by its sinister force, losing their will to fight."
USkillNerf001_effect,자신 주변 원형 범위 내 적군 '위축' 상태 부여,All enemies around self: Inflicts 'Fearful'.
USkillNerf002_name,섬뜩한 푸닥거리,Sinister Rite
USkillNerf002_desc,부정한 기운을 적에게 돌려버리는 푸닥거리를 벌인다. 불길한 기운에 휩싸인 적들은 마음이 움츠러들고 기세를 잃는다.,Performs an eerie rite that turns malignant energy upon the enemy. Those engulfed by the ominous force lose their nerve and fighting spirit.
USkillNerf002_effect,자신 주변 원형 범위 내 적군 '위축' 상태 부여,All enemies around self: Inflicts 'Fearful'.
USkillNerf003_name,천벌,Divine Judgment
USkillNerf003_desc,신의 힘을 빌어 벌을 내려 적에게 약화 상태를 부여한다.,"Calls upon divine power to punish nearby enemies, inflicting Weakened."
USkillNerf003_effect,자신 주변 원형 범위 내 적군 '약화' 상태 부여,All enemies around self: Inflicts 'Weakened'.
USkillHeal001_name,치유의 빛,Healing Light
USkillHeal001_desc,의술만으로는 닿을 수 없는 상처에 신비로운 빛을 내린다. 따스한 광휘가 아군을 감싸며 상처와 고통을 순식간에 씻어낸다.,Heals allies through mystical power rather than the art of medicine.
USkillHeal001_effect,자신 주변 원형 범위 내 아군 즉시 1000 치유,All allies around self: Instantly restores 1000 HP.
